ReporterName	ReporterDatabaseEntry
1552543_PM_a_at	NM_033104
1552544_PM_at	BC040857
1552546_PM_a_at	NM_144652
1552548_PM_at	NM_057176
1552549_PM_a_at	NM_057176
1552552_PM_s_at	NM_130441
1552553_PM_a_at	NM_021209
1552554_PM_a_at	AY027790
1552555_PM_at	NM_173502
1552557_PM_a_at	NM_144969
1552558_PM_a_at	NM_152256
1552559_PM_a_at	NM_139158
1552562_PM_at	NM_144694
1552563_PM_a_at	NM_145656
1552564_PM_at	NM_153205
1552566_PM_at	NM_144587
1552568_PM_at	NM_031440
1552569_PM_a_at	NM_031440
1552570_PM_at	NM_144991
1552572_PM_a_at	NM_138731
1552573_PM_s_at	NM_138731
1552575_PM_a_at	NM_153344
1552576_PM_at	NM_145300
1552578_PM_a_at	NM_138995
1552579_PM_a_at	NM_003813
1552580_PM_at	NM_173553
1552582_PM_at	NM_172025
1552583_PM_s_at	NM_172025
1552584_PM_at	NM_153701
1552585_PM_s_at	NM_172196
1552586_PM_at	NM_145068
1552587_PM_at	NM_173538
1552588_PM_a_at	NM_173538
1552590_PM_a_at	NM_145189
1552592_PM_at	NM_147191
1552594_PM_at	NM_139172
1552596_PM_at	NM_139285
1552598_PM_at	NM_133490
1552599_PM_at	NM_152990
1552602_PM_at	NM_145811
1552604_PM_at	NM_153203
1552605_PM_s_at	NM_153203
1552607_PM_at	NM_173168
1552608_PM_at	NM_147197
1552609_PM_s_at	NM_172139
1552610_PM_a_at	NM_002227
1552611_PM_a_at	AL555086
1552612_PM_at	NM_020240
1552613_PM_s_at	NM_020240
1552615_PM_at	NM_001093
1552616_PM_a_at	NM_001093
1552617_PM_a_at	NM_022457
1552618_PM_at	NM_005819
1552619_PM_a_at	NM_018685
1552620_PM_at	NM_173080
1552621_PM_at	BQ613856
1552622_PM_s_at	BQ613856
1552623_PM_at	BC025237
1552625_PM_a_at	AB063105
1552626_PM_a_at	NM_030923
1552627_PM_a_at	NM_001173
1552628_PM_a_at	NM_022373
1552629_PM_a_at	NM_015167
1552630_PM_a_at	NM_006662
1552631_PM_a_at	NM_145319
1552632_PM_a_at	BC012375
1552633_PM_at	NM_033204
1552634_PM_a_at	NM_033204
1552637_PM_at	NM_080601
1552639_PM_at	NM_138433
1552641_PM_s_at	NM_031921
1552643_PM_at	NM_145297
1552644_PM_a_at	NM_024947
1552646_PM_at	NM_147162
1552648_PM_a_at	NM_003844
1552649_PM_a_at	NM_057178
1552651_PM_a_at	AK093112
1552652_PM_at	NM_152843
1552656_PM_s_at	NM_144624
1552657_PM_a_at	NM_032243
1552658_PM_a_at	NM_014903
1552660_PM_a_at	BC021215
1552661_PM_at	NM_032101
1552662_PM_a_at	NM_032101
1552663_PM_a_at	NM_015064
1552664_PM_at	NM_144997
1552665_PM_at	NM_032903
1552666_PM_a_at	NM_020794
1552667_PM_a_at	NM_005489
1552669_PM_at	NM_024607
1552670_PM_a_at	NM_024607
1552671_PM_a_at	NM_032591
1552672_PM_a_at	NM_001542
1552673_PM_at	NM_173560
1552674_PM_at	NM_052952
1552675_PM_at	NM_145174
1552676_PM_at	NM_053049
1552677_PM_a_at	NM_015151
1552678_PM_a_at	NM_020886
1552680_PM_a_at	NM_020380
1552682_PM_a_at	NM_144508
1552684_PM_a_at	NM_145204
1552685_PM_a_at	NM_014552
1552686_PM_at	NM_080834
1552687_PM_a_at	NM_080834
1552689_PM_at	NM_020764
1552690_PM_a_at	NM_172364
1552691_PM_at	NM_138450
1552693_PM_at	NM_138450
1552694_PM_at	NM_052885
1552695_PM_a_at	NM_052885
1552696_PM_at	NM_144599
1552698_PM_at	NM_145042
1552701_PM_a_at	NM_052889
1552703_PM_s_at	NM_052889
1552705_PM_at	BC035000
1552708_PM_a_at	AB038770
1552711_PM_a_at	NM_144607
1552712_PM_a_at	NM_170706
1552713_PM_a_at	NM_000342
1552714_PM_at	NM_153836
1552715_PM_a_at	NM_021634
1552716_PM_at	NM_144722
1552717_PM_s_at	NM_153243
1552718_PM_at	NM_080820
1552719_PM_at	NM_138423
1552721_PM_a_at	NM_033136
1552722_PM_at	NM_016300
1552724_PM_at	AY099086
1552725_PM_s_at	NM_139057
1552726_PM_at	AA022668
1552727_PM_s_at	AA022668
1552729_PM_at	NM_032887
1552730_PM_at	NM_021044
1552731_PM_at	NM_139166
1552732_PM_at	AL832152
1552733_PM_at	NM_172193
1552734_PM_at	NM_152756
1552735_PM_at	AL832028
1552736_PM_a_at	NM_138966
1552737_PM_s_at	NM_007014
1552738_PM_a_at	NM_138729
1552739_PM_s_at	NM_138729
1552740_PM_at	NM_144706
1552742_PM_at	NM_144633
1552743_PM_at	NM_024979
1552745_PM_at	NM_173488
1552747_PM_a_at	NM_144714
1552749_PM_a_at	NM_145275
1552750_PM_at	NM_054113
1552751_PM_a_at	NM_054113
1552752_PM_a_at	NM_153184
1552754_PM_a_at	AA640422
1552755_PM_at	NM_152569
1552757_PM_s_at	AI478419
1552758_PM_at	NM_058176
1552760_PM_at	BM726008
1552761_PM_at	NM_153357
1552763_PM_at	NM_153704
1552765_PM_x_at	NM_153704
1552766_PM_at	NM_147174
1552767_PM_a_at	NM_147174
1552768_PM_at	NM_172207
1552769_PM_at	NM_145233
1552770_PM_s_at	NM_145276
1552771_PM_a_at	NM_173083
1552772_PM_at	NM_080387
1552773_PM_at	BC032313
1552774_PM_a_at	NM_004277
1552775_PM_at	NM_148963
1552777_PM_a_at	NM_139165
1552779_PM_a_at	NM_152697
1552782_PM_at	AK091400
1552783_PM_at	NM_152475
1552785_PM_at	NM_152605
1552787_PM_at	NM_033647
1552788_PM_a_at	NM_033647
1552789_PM_at	NM_153039
1552790_PM_a_at	NM_153039
1552791_PM_a_at	NM_006073
1552792_PM_at	NM_080867
1552793_PM_at	NM_173687
1552794_PM_a_at	NM_173631
1552796_PM_a_at	NM_005068
1552797_PM_s_at	NM_144707
1552798_PM_a_at	NM_138557
1552799_PM_at	NM_145003
1552800_PM_at	NM_148916
1552801_PM_at	NM_144575
1552803_PM_a_at	NM_152497
1552804_PM_a_at	NM_148910
1552806_PM_a_at	NM_033130
1552807_PM_a_at	AF301007
1552808_PM_at	NM_139264
1552809_PM_at	NM_002920
1552811_PM_at	NM_053284
1552812_PM_a_at	NM_014554
1552813_PM_at	NM_138693
1552814_PM_a_at	NM_138693
1552816_PM_at	NM_145283
1552818_PM_a_at	NM_001727
1552819_PM_at	NM_153454
1552822_PM_at	NM_019022
1552825_PM_at	NM_145756
1552826_PM_at	NM_134266
1552827_PM_s_at	NM_134266
1552828_PM_at	NM_052870
1552829_PM_at	NM_018505
1552830_PM_at	NM_153230
1552833_PM_at	NM_138706
1552834_PM_at	BC025357
1552835_PM_at	NM_144977
1552836_PM_at	NM_173656
1552837_PM_at	NM_173041
1552839_PM_at	NM_173526
1552841_PM_s_at	NM_138724
1552842_PM_at	NM_153456
1552843_PM_at	NM_134425
1552845_PM_at	NM_138429
1552846_PM_s_at	NM_152304
1552848_PM_a_at	NM_173495
1552849_PM_at	NM_138804
1552851_PM_at	NM_152677
1552852_PM_a_at	NM_152677
1552853_PM_at	NM_144623
1552854_PM_a_at	NM_144623
1552856_PM_at	NM_153238
1552857_PM_a_at	NM_000871
1552858_PM_at	NM_173523
1552860_PM_at	NM_145653
1552862_PM_at	NM_173639
1552863_PM_a_at	NM_145815
1552865_PM_a_at	NM_152590
1552867_PM_at	NM_138474
1552868_PM_at	NM_152480
1552870_PM_s_at	NM_144696
1552872_PM_at	NM_025091
1552873_PM_s_at	NM_025091
1552875_PM_a_at	NM_138939
1552876_PM_at	NM_153755
1552877_PM_s_at	NM_153755
1552878_PM_at	BC032621
1552879_PM_a_at	BC032621
1552880_PM_at	NM_033127
1552882_PM_a_at	NM_152424
1552884_PM_at	NM_152568
1552885_PM_a_at	NM_152568
1552887_PM_at	NM_152710
1552889_PM_a_at	NM_138568
1552890_PM_a_at	NM_145200
1552892_PM_at	NM_052945
1552893_PM_at	NM_033259
1552895_PM_a_at	NM_153773
1552897_PM_a_at	NM_133329
1552898_PM_a_at	AF348982
1552899_PM_at	NM_153224
1552900_PM_a_at	NM_153224
1552902_PM_a_at	NM_148898
1552903_PM_at	NM_153446
1552904_PM_at	NM_138999
1552906_PM_at	NM_152578
1552908_PM_at	NM_145278
1552910_PM_at	NM_052884
1552911_PM_at	AB072038
1552912_PM_a_at	NM_144701
1552913_PM_at	NM_173699
1552914_PM_a_at	NM_025240
1552915_PM_at	NM_172138
1552917_PM_at	NM_172140
1552919_PM_at	NM_144645
1552921_PM_a_at	NM_022116
1552922_PM_at	NM_014989
1552923_PM_a_at	NM_020845
1552924_PM_a_at	AL133612
1552925_PM_at	NM_020815
1552927_PM_at	NM_152787
1552928_PM_s_at	NM_152787
1552929_PM_at	NM_139209
1552930_PM_at	NM_033467
1552931_PM_a_at	NM_002605
1552932_PM_at	NM_138329
1552933_PM_at	NM_152763
1552935_PM_at	NM_152694
1552937_PM_s_at	NM_130384
1552938_PM_at	NM_033132
1552939_PM_at	NM_139290
1552940_PM_at	NM_172000
1552942_PM_at	NM_153009
1552943_PM_at	NM_173536
1552944_PM_a_at	NM_052839
1552946_PM_at	NM_153608
1552947_PM_x_at	NM_153608
1552948_PM_at	NM_152492
1552950_PM_at	NM_173528
1552952_PM_at	NM_144971
1552953_PM_a_at	NM_006160
1552954_PM_at	NM_173668
1552955_PM_at	NM_054029
1552957_PM_at	NM_145299
1552960_PM_at	NM_130830
1552961_PM_at	NM_032908
1552964_PM_at	NM_173572
1552965_PM_a_at	NM_145236
1552967_PM_at	NM_152577
1552969_PM_a_at	NM_145310
1552970_PM_s_at	NM_145310
1552971_PM_at	NM_139167
1552972_PM_at	NM_152711
1552973_PM_at	NM_003396
1552974_PM_at	NM_014130
1552975_PM_x_at	NM_014130
1552976_PM_at	NM_153614
1552977_PM_a_at	NM_006586
1552978_PM_a_at	NM_052822
1552979_PM_at	NM_173513
1552980_PM_at	NM_138612
1552982_PM_a_at	NM_002007
1552985_PM_at	NM_173851
1552986_PM_at	NM_138470
1552987_PM_a_at	NM_153241
1552988_PM_at	NM_152587
1552990_PM_at	NM_152656
1552991_PM_at	NM_153444
1552993_PM_at	NM_138812
1552995_PM_at	NM_145659
1552997_PM_a_at	NM_152397
1552998_PM_at	NM_153325
1552999_PM_a_at	NM_172006
1553002_PM_at	NM_152250
1553003_PM_at	NM_170724
1553004_PM_at	NM_138295
1553006_PM_at	NM_153834
1553007_PM_a_at	NM_014253
1553009_PM_s_at	NM_172239
1553011_PM_at	NM_153809
1553013_PM_at	NM_130773
1553015_PM_a_at	NM_004260
1553016_PM_at	NM_153835
1553019_PM_at	NM_080751
1553020_PM_at	NM_144774
1553021_PM_s_at	NM_015250
1553022_PM_at	NM_052882
1553023_PM_a_at	NM_024505
1553024_PM_at	NM_172368
1553025_PM_at	NM_020455
1553027_PM_a_at	NM_057162
1553028_PM_at	NM_153002
1553030_PM_a_at	NM_000456
1553031_PM_at	NM_153838
1553032_PM_at	NM_139017
1553033_PM_at	NM_138780
1553034_PM_at	NM_006642
1553036_PM_at	NM_153839
1553037_PM_a_at	NM_133625
1553039_PM_a_at	NM_080871
1553041_PM_at	NM_130770
1553042_PM_a_at	NM_032721
1553043_PM_a_at	NM_139018
1553044_PM_at	NM_032602
1553045_PM_at	NM_003395
1553046_PM_s_at	NM_022134
1553047_PM_at	NM_138687
1553048_PM_a_at	NM_138687
1553051_PM_s_at	NM_053280
1553052_PM_at	NM_172005
1553053_PM_at	NM_152777
1553055_PM_a_at	NM_144975
1553057_PM_at	NM_080474
1553058_PM_at	NM_133261
1553059_PM_at	NM_052891
1553060_PM_at	NM_033126
1553061_PM_at	NM_033519
1553062_PM_at	NM_058165
1553063_PM_at	NM_080819
1553064_PM_at	NM_153833
1553066_PM_at	NM_175057
1553067_PM_a_at	NM_057163
1553069_PM_at	NM_153455
1553070_PM_a_at	NM_133371
1553071_PM_a_at	NM_133371
1553072_PM_at	NM_138279
1553074_PM_at	NM_080873
1553075_PM_a_at	AF548121
1553076_PM_at	NM_153003
1553077_PM_at	NM_148897
1553078_PM_at	NM_153445
1553079_PM_at	NM_138700
1553080_PM_at	NM_173085
1553081_PM_at	NM_080869
1553082_PM_at	NM_144727
1553083_PM_at	NM_032363
1553084_PM_at	NM_139171
1553086_PM_at	NM_144663
1553087_PM_at	NM_032362
1553088_PM_a_at	NM_138626
1553089_PM_a_at	NM_080736
1553093_PM_a_at	NM_153323
1553094_PM_at	NM_170685
1553096_PM_s_at	NM_138627
1553099_PM_at	NM_145702
1553101_PM_a_at	NM_017758
1553102_PM_a_at	BC016647
1553103_PM_at	NM_147134
1553105_PM_s_at	NM_001943
1553106_PM_at	NM_152409
1553107_PM_s_at	BF436799
1553108_PM_at	AW068615
1553111_PM_a_at	NM_152903
1553112_PM_s_at	NM_001260
1553113_PM_s_at	BF700678
1553114_PM_a_at	NM_005975
1553115_PM_at	AF358135
1553117_PM_a_at	NM_007271
1553118_PM_at	NM_053055
1553120_PM_at	NM_022111
1553122_PM_s_at	NM_021163
1553123_PM_at	NM_173636
1553125_PM_x_at	NM_173636
